Category,Item_Code,Price,Quantity,Source,Price_with_30_percent_markup
2,fb,0.054,2,V2,0.0702
2,fb,0.066,1,V2,0.0858
2,fb,0.067,1106,V2,0.08710000000000001
2,fb,0.072,662,V2,0.0936
2,fb,0.082,5,V2,0.10660000000000001
2,fb,0.087,1,V2,0.11309999999999999
2,fb,0.126,244,V2,0.1638
2,fb,0.168,5842,V2,0.2184
2,fb,0.335,5140,V2,0.43550000000000005
2,vi,0.014,672,V2,0.0182
2,vi,0.019,609,V2,0.0247
2,vi,0.036,5,V2,0.0468
2,vi,0.116,1,V2,0.15080000000000002
2,vi,0.335,11696,V2,0.43550000000000005
2,tg,1.507,22634,V2,1.9590999999999998
2,tg,3.304,538,V2,4.2952
2,tg,3.316,5694,V2,4.3107999999999995
2,ig,0.04,5000,V2,0.052000000000000005
2,ig,0.054,2,V2,0.0702
2,ig,0.067,1095,V2,0.08710000000000001
2,ig,0.075,779,V2,0.0975
2,ig,0.078,268,V2,0.1014
2,ig,0.098,1,V2,0.1274
2,ig,0.143,11119,V2,0.18589999999999998
2,wa,0.303,2579,V2,0.39390000000000003
2,wa,0.634,2582,V2,0.8242
2,wa,2.165,464,V2,2.8145000000000002
2,wa,5.526,5,V2,7.1838
2,wa,10.316,10767,V2,13.410800000000002
2,sn,0.098,1,V2,0.1274
2,sn,0.117,1,V2,0.1521
2,sn,0.188,762,V2,0.2444
2,sn,0.627,10407,V2,0.8151
2,tw,0.012,61,V2,0.015600000000000001
2,tw,0.016,459,V2,0.020800000000000003
2,tw,0.034,244,V2,0.0442
2,tw,0.046,5836,V2,0.0598
2,tw,0.054,1,V2,0.0702
2,tw,0.098,1,V2,0.1274
2,tw,0.502,5860,V2,0.6526000000000001
2,li,0.006,587,V2,0.0078000000000000005
2,li,0.031,244,V2,0.0403
2,li,0.042,5842,V2,0.0546
2,li,0.071,5610,V2,0.0923
46,vi,0.018,84,V2,0.0234
46,vi,0.035,532,V2,0.045500000000000006
46,vi,0.038,12,V2,0.0494
46,vi,0.045,532,V2,0.058499999999999996
46,vi,0.055,751,V2,0.07150000000000001
46,vi,0.255,248,V2,0.3315
46,vi,0.334,17,V2,0.43420000000000003
46,vi,0.835,1670,V2,1.0855
46,tw,0.018,272,V2,0.0234
46,tw,0.03,6,V2,0.039
46,tw,0.031,276,V2,0.0403
46,tw,0.042,276,V2,0.0546
46,tw,0.12,657,V2,0.156
46,tw,0.267,17,V2,0.3471
46,tw,0.422,259,V2,0.5486
46,tw,0.468,2077,V2,0.6084
46,li,0.006,629,V2,0.0078000000000000005
46,li,0.015,50,V2,0.0195
46,li,0.018,103,V2,0.0234
46,li,0.036,12,V2,0.0468
46,li,0.056,550,V2,0.0728
46,li,0.066,394,V2,0.0858
46,li,0.075,550,V2,0.0975
46,li,0.079,1620,V2,0.1027
46,tg,1.127,225,V2,1.4651
46,tg,1.504,500,V2,1.9552
46,tg,1.529,228,V2,1.9877
46,tg,1.881,2,V2,2.4453
46,tg,3.243,917,V2,4.2159
46,tg,4.236,1186,V2,5.5068
46,ig,0.054,1,V2,0.0702
46,ig,0.067,719,V2,0.08710000000000001
46,ig,0.074,644,V2,0.0962
46,ig,0.124,294,V2,0.1612
46,ig,0.143,319,V2,0.18589999999999998
46,ig,0.159,294,V2,0.20670000000000002
46,ig,0.267,12,V2,0.3471
46,ig,0.752,820,V2,0.9776
46,wa,1.11,417,V2,1.4430000000000003
46,wa,1.248,324,V2,1.6224
46,wa,1.567,1,V2,2.0371
46,wa,2.118,334,V2,2.7534
46,wa,2.542,334,V2,3.3045999999999998
46,wa,3.684,322,V2,4.7892
46,fb,0.04,374,V2,0.052000000000000005
46,fb,0.054,1,V2,0.0702
46,fb,0.067,714,V2,0.08710000000000001
46,fb,0.087,6,V2,0.11309999999999999
46,fb,0.093,6,V2,0.12090000000000001
46,fb,0.115,6,V2,0.14950000000000002
46,fb,0.119,677,V2,0.1547
46,fb,0.334,14,V2,0.43420000000000003
46,fb,0.749,334,V2,0.9737
46,fb,0.835,979,V2,1.0855
36,fb,0.032,15734,V2,0.041600000000000005
36,fb,0.034,400,V2,0.0442
36,fb,0.04,175109,V2,0.052000000000000005
36,fb,0.054,2,V2,0.0702
36,fb,0.06,645,V2,0.078
36,fb,0.087,1,V2,0.11309999999999999
36,fb,0.167,6164,V2,0.21710000000000002
36,vi,0.031,39683,V2,0.0403
36,vi,0.034,602,V2,0.0442
36,vi,0.051,97363,V2,0.0663
36,vi,0.052,8425,V2,0.0676
36,vi,0.063,200,V2,0.0819
36,vi,0.116,1,V2,0.15080000000000002
36,vi,0.502,125,V2,0.6526000000000001
36,tg,0.199,18361,V2,0.25870000000000004
36,tg,0.216,200,V2,0.2808
36,tg,0.374,97411,V2,0.4862
36,tg,0.454,1,V2,0.5902000000000001
36,tg,0.456,128,V2,0.5928
36,tg,0.752,71181,V2,0.9776
36,tg,1.067,144,V2,1.3871
36,ig,0.027,39792,V2,0.0351
36,ig,0.03,1125,V2,0.039
36,ig,0.054,2,V2,0.0702
36,ig,0.055,766,V2,0.07150000000000001
36,ig,0.06,97792,V2,0.078
36,ig,0.072,90906,V2,0.0936
36,ig,0.098,1,V2,0.1274
36,ig,0.116,1,V2,0.15080000000000002
36,ig,0.2,137,V2,0.26
36,tw,0.01,40410,V2,0.013000000000000001
36,tw,0.011,1781,V2,0.0143
36,tw,0.054,1,V2,0.0702
36,tw,0.067,92718,V2,0.08710000000000001
36,tw,0.098,1,V2,0.1274
36,tw,0.502,99594,V2,0.6526000000000001
36,wa,0.286,7102,V2,0.37179999999999996
36,wa,0.292,1,V2,0.3796
36,wa,0.3,1,V2,0.39
36,wa,0.315,618,V2,0.40950000000000003
36,wa,0.336,59999,V2,0.4368
36,wa,0.35,1,V2,0.45499999999999996
36,wa,0.52,23552,V2,0.676
36,wa,0.626,20656,V2,0.8138000000000001
36,wa,0.693,128,V2,0.9008999999999999
36,wa,0.702,5,V2,0.9126
36,wa,1.067,9518,V2,1.3871
36,li,0.004,223,V2,0.005200000000000001
36,li,0.011,96922,V2,0.0143
36,li,0.02,200,V2,0.026000000000000002
36,li,0.046,99016,V2,0.0598
12,tw,0.012,27645,V2,0.015600000000000001
12,tw,0.019,733,V2,0.0247
12,tw,0.02,200,V2,0.026000000000000002
12,tw,0.054,1,V2,0.0702
12,tw,0.126,55054,V2,0.1638
12,tw,0.127,99846,V2,0.1651
